date,VER,EXP,EAST,XGEO,RISK,event_horizon_distance
20260216,3000,6000,1500,3000,30,17.19
20260217,3050,6000,1500,3000,30,17.5
20260218,3100,6000,1500,3000,30,18
20260219,3150,6000,1500,3000,30,18.5
20260220,3200,6000,1500,3000,30,19
20260221,3250,6000,1500,3000,30,19.5
20260222,3300,6000,1500,3000,30,20
20260223,3350,6000,1500,3000,30,20.5
20260224,3400,6000,1500,3000,30,21
20260225,3450,6000,1500,3000,30,21.5
20260226,3500,6000,1500,3000,30,22
20260227,3550,6000,1500,3000,30,22.5
20260228,3600,6000,1500,3000,30,23
20260229,3650,6000,1500,3000,30,23.5
20260230,3700,6000,1500,3000,30,24
20260231,3750,6000,1500,3000,30,24.5
20260232,3800,6000,1500,3000,30,25
20260233,3850,6000,1500,3000,30,25.5
20260234,3900,6000,1500,3000,30,26
20260235,3950,6000,1500,3000,30,26.5
20260236,4000,6000,1500,3000,30,27
20260237,4050,6000,1500,3000,30,27.5
20260238,4100,6000,1500,3000,30,28
20260239,4150,6000,1500,3000,30,28.5
20260240,4200,6000,1500,3000,30,29
20260241,4250,6000,1500,3000,30,29.5
20260242,4300,6000,1500,3000,30,30
20260243,4350,6000,1500,3000,30,30.5
20260244,4400,6000,1500,3000,30,31
20260245,4450,6000,1500,3000,30,31.5
20260246,4500,6000,1500,3000,30,32
20260247,4550,6000,1500,3000,30,32.5
20260248,4600,6000,1500,3000,30,33
20260249,4650,6000,1500,3000,30,33.5
20260250,4700,6000,1500,3000,30,34
20260251,4750,6000,1500,3000,30,34.5
20260252,4800,6000,1500,3000,30,35
20260253,4850,6000,1500,3000,30,35.5
20260254,4900,6000,1500,3000,30,36
20260216,3000,6000,1500,3000,15,17.19
20260217,3050,6000,1500,3000,15,17.5
20260218,3100,6000,1500,3000,15,18
20260219,3150,6000,1500,3000,15,18.5
20260220,3200,6000,1500,3000,15,19
20260221,3250,6000,1500,3000,15,19.5
20260222,3300,6000,1500,3000,15,20
20260223,3350,6000,1500,3000,15,20.5
20260224,3400,6000,1500,3000,15,21
20260225,3450,6000,1500,3000,15,21.5
20260226,3500,6000,1500,3000,15,22
20260227,3550,6000,1500,3000,15,22.5
20260228,3600,6000,1500,3000,15,23
20260229,3650,6000,1500,3000,15,23.5
20260230,3700,6000,1500,3000,15,24
20260231,3750,6000,1500,3000,15,24.5
20260232,3800,6000,1500,3000,15,25
20260233,3850,6000,1500,3000,15,25.5
20260234,3900,6000,1500,3000,15,26
20260235,3950,6000,1500,3000,15,26.5
20260236,4000,6000,1500,3000,15,27
20260237,4050,6000,1500,3000,15,27.5
20260238,4100,6000,1500,3000,15,28
20260239,4150,6000,1500,3000,15,28.5
20260240,4200,6000,1500,3000,15,29
20260241,4250,6000,1500,3000,15,29.5
20260242,4300,6000,1500,3000,15,30
20260243,4350,6000,1500,3000,15,30.5
20260244,4400,6000,1500,3000,15,31
20260245,4450,6000,1500,3000,15,31.5
20260246,4500,6000,1500,3000,15,32
20260247,4550,6000,1500,3000,15,32.5
20260248,4600,6000,1500,3000,15,33
20260249,4650,6000,1500,3000,15,33.5
20260250,4700,6000,1500,3000,15,34
20260251,4750,6000,1500,3000,15,34.5
20260252,4800,6000,1500,3000,15,35
20260253,4850,6000,1500,3000,15,35.5
20260254,4900,6000,1500,3000,15,36
20260216,3000,6000,1500,3000,80,17.19
20260217,3050,6000,1500,3000,80,17.5
20260218,3100,6000,1500,3000,80,18
20260219,3150,6000,1500,3000,80,18.5
20260220,3200,6000,1500,3000,80,19
20260221,3250,6000,1500,3000,80,19.5
20260222,3300,6000,1500,3000,80,20
20260223,3350,6000,1500,3000,80,20.5
20260224,3400,6000,1500,3000,80,21
20260225,3450,6000,1500,3000,80,21.5
20260226,3500,6000,1500,3000,80,22
20260227,3550,6000,1500,3000,80,22.5
20260228,3600,6000,1500,3000,80,23
20260229,3650,6000,1500,3000,80,23.5
20260230,3700,6000,1500,3000,80,24
20260231,3750,6000,1500,3000,80,24.5
20260232,3800,6000,1500,3000,80,25
20260233,3850,6000,1500,3000,80,25.5
20260234,3900,6000,1500,3000,80,26
20260235,3950,6000,1500,3000,80,26.5
20260236,4000,6000,1500,3000,80,27
20260237,4050,6000,1500,3000,80,27.5
20260238,4100,6000,1500,3000,80,28
20260239,4150,6000,1500,3000,80,28.5
20260240,4200,6000,1500,3000,80,29
20260241,4250,6000,1500,3000,80,29.5
20260242,4300,6000,1500,3000,80,30
20260243,4350,6000,1500,3000,80,30.5
20260244,4400,6000,1500,3000,80,31
20260245,4450,6000,1500,3000,80,31.5
20260246,4500,6000,1500,3000,80,32
20260247,4550,6000,1500,3000,80,32.5
20260248,4600,6000,1500,3000,80,33
20260249,4650,6000,1500,3000,80,33.5
20260250,4700,6000,1500,3000,80,34
20260251,4750,6000,1500,3000,80,34.5
20260252,4800,6000,1500,3000,80,35
20260253,4850,6000,1500,3000,80,35.5
20260254,4900,6000,1500,3000,80,36
