datetime,scenario,node,flow,survival,entrainment
2025-01-01 00:00:00,baseline,A,6527.826539586416,0.863090281002904,0.1906226996344328
2025-01-01 01:00:00,baseline,A,3246.8693339902006,0.7045130921985023,0.1981765365375282
2025-01-01 02:00:00,baseline,A,3158.4697643846707,0.8691251719274629,0.05440272690052137
2025-01-01 03:00:00,baseline,A,7913.533224070579,0.9441081902555706,0.051483267438936324
2025-01-01 04:00:00,baseline,A,4451.190467887749,0.7113746734373902,0.1593999472119506
2025-01-01 05:00:00,baseline,A,5183.952487330104,0.9245872574268995,0.05102238699579093
2025-01-01 06:00:00,baseline,A,4459.330332468044,0.7512968968207634,0.1462968726634101
2025-01-01 07:00:00,baseline,A,5220.712010699947,0.7980976895346679,0.1725625031123915
2025-01-01 08:00:00,baseline,A,7484.938040502308,0.8863129920124518,0.09348373177261884
2025-01-01 09:00:00,baseline,A,5731.11293228886,0.8567245366628289,0.18215748437050333
2025-01-01 10:00:00,baseline,A,3687.9946618681056,0.7210903387538532,0.11172368267028787
2025-01-01 11:00:00,baseline,A,5468.296908649414,0.765342794299727,0.08204669947523477
2025-01-01 12:00:00,baseline,A,4202.479110639377,0.7249025818093638,0.15195019460078651
2025-01-01 13:00:00,baseline,A,6432.50656967977,0.75246069462248,0.14134895451724327
2025-01-01 14:00:00,baseline,A,7919.947375147013,0.8932743866792026,0.07421521310113255
2025-01-01 15:00:00,baseline,A,6701.695902990296,0.9451913524317349,0.08301184912227555
2025-01-01 16:00:00,baseline,A,3533.9520249120324,0.9171205435142067,0.07279983952178253
2025-01-01 17:00:00,baseline,A,3322.8115266700574,0.8646971549536825,0.10291692348994237
2025-01-01 18:00:00,baseline,A,7926.193899817011,0.7557698027741853,0.130282239198198
2025-01-01 19:00:00,baseline,A,6958.696157239611,0.8511583787291089,0.17486093295854666
2025-01-01 20:00:00,baseline,A,5444.580025399452,0.9000681201451357,0.07676073325054247
2025-01-01 21:00:00,baseline,A,3676.170578176024,0.8772953719385861,0.1273233901449249
2025-01-01 22:00:00,baseline,A,4531.532570546674,0.9081091386028597,0.19527362520720593
2025-01-01 23:00:00,baseline,A,6692.3269275242565,0.785296054047504,0.08067233847985042
2025-01-02 00:00:00,baseline,A,5699.511517462704,0.9185532250203662,0.1584482309982826
2025-01-02 01:00:00,baseline,A,6733.614768063329,0.7841998754325255,0.19210714851487204
2025-01-02 02:00:00,baseline,A,5084.141612242765,0.7273963622447002,0.16504900352201038
2025-01-02 03:00:00,baseline,A,4154.924402581754,0.931698537840527,0.18426081146554724
2025-01-02 04:00:00,baseline,A,5798.334969859541,0.8503494362248073,0.06211791886745078
2025-01-02 05:00:00,baseline,A,5589.932632753065,0.78839112197859,0.12683717862348234
2025-01-02 06:00:00,baseline,A,7720.412959521807,0.7802605255853957,0.1286236190292967
2025-01-02 07:00:00,baseline,A,7481.541840083688,0.7273777338723214,0.1663565237993853
2025-01-02 08:00:00,baseline,A,5812.117013057979,0.8486407769833149,0.1273808945041892
2025-01-02 09:00:00,baseline,A,6050.1430426912375,0.9042309191621893,0.1563077746186015
2025-01-02 10:00:00,baseline,A,6973.927777323117,0.729924143656923,0.1281896534022186
2025-01-02 11:00:00,baseline,A,6008.125298044978,0.8656845106522345,0.18911699645519903
2025-01-02 12:00:00,baseline,A,4270.753096098566,0.8117711978481487,0.15094311006850947
2025-01-02 13:00:00,baseline,A,5076.339207897954,0.89714925741208,0.09321551023313984
2025-01-02 14:00:00,baseline,A,6478.2473033419665,0.900552505096189,0.05425837068882669
2025-01-02 15:00:00,baseline,A,7646.573130604243,0.936041519330801,0.0530140603765588
2025-01-02 16:00:00,baseline,A,7173.653045855035,0.8560293624265554,0.08294868228548494
2025-01-02 17:00:00,baseline,A,7351.987506637609,0.8795110356378162,0.1494489416036136
2025-01-02 18:00:00,baseline,A,3431.615421596294,0.8135541947907121,0.07116803925356915
2025-01-02 19:00:00,baseline,A,5417.313051835661,0.719995994203787,0.13286214633895094
2025-01-02 20:00:00,baseline,A,6351.088227905188,0.7039995223193812,0.12062641419014407
2025-01-02 21:00:00,baseline,A,6749.162777688676,0.7651624382937066,0.06961312633455283
2025-01-02 22:00:00,baseline,A,3648.7727559904665,0.7060941932910249,0.1740195655912612
2025-01-02 23:00:00,baseline,A,6743.101785973511,0.766308813611585,0.18831992601754427
2025-01-03 00:00:00,baseline,A,3999.55023522478,0.9057010530388847,0.10784841124339466
2025-01-03 01:00:00,baseline,A,5300.988492034543,0.9356147126753583,0.14999997100571685
2025-01-03 02:00:00,baseline,A,5304.071011360469,0.80333263396394,0.10581516566172185
2025-01-03 03:00:00,baseline,A,3998.143277692399,0.8096269641063236,0.14610895862755396
2025-01-03 04:00:00,baseline,A,5837.50858086948,0.8398996902221196,0.05136185111436496
2025-01-03 05:00:00,baseline,A,7674.404668402423,0.7693050504634795,0.10412970868441865
2025-01-03 06:00:00,baseline,A,3088.6031931319653,0.8357420733628655,0.10868389026502676
2025-01-03 07:00:00,baseline,A,3014.803863820015,0.7983909038723379,0.1708407905352748
2025-01-03 08:00:00,baseline,A,6924.385727818762,0.7525583411909594,0.1673339150744316
2025-01-03 09:00:00,baseline,A,5499.760367713168,0.7798860818580226,0.07439485828512885
2025-01-03 10:00:00,baseline,A,5716.6896349162735,0.9107434510900603,0.07731279229944632
